FTHG,FTAG,Date,FTR,HomeTeam,AwayTeam
1,4,14/08/1993,A,Go Ahead Eagles,Vitesse
1,0,14/08/1993,H,SC Heerenveen,Sparta Rotterdam
2,3,14/08/1993,A,NAC Breda,Roda JC
1,0,14/08/1993,H,Willem II,MVV Maastricht
2,2,15/08/1993,D,FC Volendam,FC Utrecht
3,0,15/08/1993,H,Ajax,RKC Waalwijk
1,0,15/08/1993,H,Feyenoord,SC Cambuur
1,2,15/08/1993,A,FC Groningen,PSV Eindhoven
3,0,15/08/1993,H,FC Twente,VVV-Venlo
1,3,20/08/1993,A,SC Cambuur,NAC Breda
3,0,21/08/1993,H,PSV Eindhoven,Go Ahead Eagles
2,0,22/08/1993,H,Roda JC,FC Volendam
1,0,22/08/1993,H,Sparta Rotterdam,Willem II
1,4,22/08/1993,A,FC Utrecht,Ajax
1,3,22/08/1993,A,RKC Waalwijk,FC Twente
0,3,25/08/1993,A,Willem II,Vitesse
4,1,25/08/1993,H,FC Volendam,SC Cambuur
1,1,25/08/1993,D,MVV Maastricht,RKC Waalwijk
0,0,25/08/1993,D,SC Heerenveen,PSV Eindhoven
4,1,25/08/1993,H,NAC Breda,VVV-Venlo
4,0,25/08/1993,H,Go Ahead Eagles,FC Utrecht
1,0,25/08/1993,H,Feyenoord,FC Twente
3,5,25/08/1993,A,FC Groningen,Roda JC
3,0,25/08/1993,H,Ajax,Sparta Rotterdam
2,0,28/08/1993,H,VVV-Venlo,FC Volendam
0,1,29/08/1993,A,FC Utrecht,SC Heerenveen
0,1,29/08/1993,A,FC Twente,NAC Breda
2,2,29/08/1993,D,Sparta Rotterdam,MVV Maastricht
0,1,29/08/1993,A,Vitesse,Ajax
2,1,29/08/1993,H,PSV Eindhoven,Willem II
0,2,29/08/1993,A,SC Cambuur,FC Groningen
2,1,29/08/1993,H,Roda JC,Go Ahead Eagles
1,2,31/08/1993,A,RKC Waalwijk,Feyenoord
1,1,01/09/1993,D,MVV Maastricht,Ajax
2,0,01/09/1993,H,FC Utrecht,FC Groningen
3,0,04/09/1993,H,Go Ahead Eagles,SC Cambuur
0,0,04/09/1993,D,SC Heerenveen,Roda JC
0,2,04/09/1993,A,MVV Maastricht,Vitesse
4,1,04/09/1993,H,Willem II,FC Utrecht
1,1,05/09/1993,D,Sparta Rotterdam,RKC Waalwijk
2,0,05/09/1993,H,Ajax,PSV Eindhoven
0,3,05/09/1993,A,FC Groningen,VVV-Venlo
1,2,05/09/1993,A,NAC Breda,Feyenoord
2,5,05/09/1993,A,FC Volendam,FC Twente
1,0,08/09/1993,H,RKC Waalwijk,NAC Breda
1,1,08/09/1993,D,Roda JC,Willem II
1,0,08/09/1993,H,VVV-Venlo,Go Ahead Eagles
2,0,08/09/1993,H,Vitesse,Sparta Rotterdam
4,2,08/09/1993,H,PSV Eindhoven,MVV Maastricht
2,0,08/09/1993,H,Feyenoord,FC Volendam
1,2,08/09/1993,A,SC Cambuur,SC Heerenveen
1,0,11/09/1993,H,SC Heerenveen,VVV-Venlo
2,1,11/09/1993,H,MVV Maastricht,FC Utrecht
0,0,11/09/1993,D,Sparta Rotterdam,PSV Eindhoven
4,1,11/09/1993,H,Willem II,SC Cambuur
4,1,12/09/1993,H,Vitesse,RKC Waalwijk
1,3,12/09/1993,A,FC Volendam,NAC Breda
0,4,12/09/1993,A,FC Groningen,Feyenoord
2,0,12/09/1993,H,Ajax,Roda JC
3,3,12/09/1993,D,Go Ahead Eagles,FC Twente
0,1,19/09/1993,A,FC Twente,FC Groningen
3,0,19/09/1993,H,Vitesse,SC Heerenveen
3,1,25/09/1993,H,FC Utrecht,Sparta Rotterdam
4,1,26/09/1993,H,Roda JC,MVV Maastricht
1,3,26/09/1993,A,RKC Waalwijk,FC Volendam
1,0,26/09/1993,H,Feyenoord,Go Ahead Eagles
2,1,26/09/1993,H,NAC Breda,FC Groningen
2,1,26/09/1993,H,FC Twente,SC Heerenveen
1,1,02/10/1993,D,PSV Eindhoven,RKC Waalwijk
2,0,02/10/1993,H,Willem II,FC Twente
0,0,02/10/1993,D,Go Ahead Eagles,NAC Breda
0,0,02/10/1993,D,MVV Maastricht,SC Cambuur
2,0,03/10/1993,H,Ajax,VVV-Venlo
2,0,03/10/1993,H,Sparta Rotterdam,Roda JC
2,2,03/10/1993,D,Vitesse,FC Utrecht
1,3,04/10/1993,A,SC Heerenveen,Feyenoord
2,1,06/10/1993,H,VVV-Venlo,Vitesse
2,1,15/10/1993,H,Roda JC,Vitesse
6,0,16/10/1993,H,NAC Breda,SC Heerenveen
1,7,16/10/1993,A,VVV-Venlo,MVV Maastricht
1,1,16/10/1993,D,SC Cambuur,Sparta Rotterdam
2,0,17/10/1993,H,Feyenoord,Willem II
2,1,17/10/1993,H,FC Twente,Ajax
0,4,17/10/1993,A,FC Utrecht,PSV Eindhoven
0,1,17/10/1993,A,FC Volendam,Go Ahead Eagles
2,3,17/10/1993,A,RKC Waalwijk,FC Groningen
0,2,22/10/1993,A,MVV Maastricht,FC Twente
3,0,23/10/1993,H,Go Ahead Eagles,FC Groningen
2,0,23/10/1993,H,PSV Eindhoven,Roda JC
3,1,23/10/1993,H,SC Heerenveen,FC Volendam
2,2,24/10/1993,D,Sparta Rotterdam,VVV-Venlo
3,1,24/10/1993,H,FC Utrecht,RKC Waalwijk
2,0,24/10/1993,H,Willem II,NAC Breda
2,2,24/10/1993,D,Ajax,Feyenoord
2,1,24/10/1993,H,Vitesse,SC Cambuur
0,3,27/10/1993,A,SC Cambuur,Ajax
1,1,27/10/1993,D,VVV-Venlo,Feyenoord
0,0,27/10/1993,D,FC Groningen,FC Volendam
0,1,27/10/1993,A,PSV Eindhoven,Vitesse
4,0,29/10/1993,H,Roda JC,FC Utrecht
0,5,30/10/1993,A,NAC Breda,Ajax
1,3,31/10/1993,A,SC Cambuur,PSV Eindhoven
4,0,31/10/1993,H,Feyenoord,MVV Maastricht
2,2,31/10/1993,D,FC Groningen,SC Heerenveen
0,0,31/10/1993,D,FC Twente,Sparta Rotterdam
0,3,31/10/1993,A,FC Volendam,Willem II
1,2,31/10/1993,A,RKC Waalwijk,Go Ahead Eagles
4,1,06/11/1993,H,Willem II,FC Groningen
3,2,06/11/1993,H,PSV Eindhoven,VVV-Venlo
1,4,06/11/1993,A,SC Heerenveen,Go Ahead Eagles
2,1,06/11/1993,H,MVV Maastricht,NAC Breda
3,1,07/11/1993,H,Ajax,FC Volendam
2,0,07/11/1993,H,Roda JC,RKC Waalwijk
3,4,07/11/1993,A,Sparta Rotterdam,Feyenoord
2,0,07/11/1993,H,FC Utrecht,SC Cambuur
3,0,07/11/1993,H,Vitesse,FC Twente
0,0,13/11/1993,D,VVV-Venlo,Willem II
1,1,19/11/1993,D,VVV-Venlo,FC Utrecht
3,0,20/11/1993,H,Go Ahead Eagles,Willem II
4,3,20/11/1993,H,NAC Breda,Sparta Rotterdam
1,1,21/11/1993,D,RKC Waalwijk,SC Heerenveen
5,0,21/11/1993,H,FC Volendam,MVV Maastricht
1,1,21/11/1993,D,Feyenoord,Vitesse
0,4,21/11/1993,A,FC Groningen,Ajax
1,1,28/11/1993,D,Willem II,SC Heerenveen
4,0,29/11/1993,H,Ajax,Go Ahead Eagles
1,3,29/11/1993,A,PSV Eindhoven,Feyenoord
0,0,29/11/1993,D,Roda JC,VVV-Venlo
1,0,29/11/1993,H,FC Utrecht,FC Twente
2,2,04/12/1993,D,Go Ahead Eagles,MVV Maastricht
2,2,04/12/1993,D,NAC Breda,PSV Eindhoven
2,1,05/12/1993,H,FC Twente,Roda JC
4,1,05/12/1993,H,Willem II,RKC Waalwijk
1,0,05/12/1993,H,VVV-Venlo,SC Cambuur
1,4,05/12/1993,A,FC Groningen,Sparta Rotterdam
1,1,05/12/1993,D,Feyenoord,FC Utrecht
2,0,05/12/1993,H,FC Volendam,Vitesse
1,4,06/12/1993,A,SC Heerenveen,Ajax
1,1,10/12/1993,D,SC Cambuur,FC Twente
1,0,10/12/1993,H,Roda JC,Feyenoord
3,1,11/12/1993,H,MVV Maastricht,SC Heerenveen
3,0,11/12/1993,H,PSV Eindhoven,FC Volendam
1,2,12/12/1993,A,RKC Waalwijk,VVV-Venlo
4,1,12/12/1993,H,Vitesse,FC Groningen
0,5,12/12/1993,A,FC Utrecht,NAC Breda
1,0,12/12/1993,H,Sparta Rotterdam,Go Ahead Eagles
3,1,12/12/1993,H,Ajax,Willem II
0,1,15/12/1993,A,SC Cambuur,Roda JC
1,0,18/12/1993,H,MVV Maastricht,Willem II
1,1,18/12/1993,D,PSV Eindhoven,FC Groningen
0,0,18/12/1993,D,VVV-Venlo,FC Twente
3,0,19/12/1993,H,Sparta Rotterdam,SC Heerenveen
3,1,19/12/1993,H,FC Utrecht,FC Volendam
5,0,19/12/1993,H,Vitesse,Go Ahead Eagles
3,1,09/01/1994,H,Vitesse,NAC Breda
0,0,09/01/1994,D,FC Twente,PSV Eindhoven
1,1,09/01/1994,D,SC Cambuur,RKC Waalwijk
4,1,09/01/1994,H,Sparta Rotterdam,FC Volendam
0,4,15/01/1994,A,Go Ahead Eagles,PSV Eindhoven
0,4,15/01/1994,A,SC Heerenveen,Vitesse
2,0,15/01/1994,H,NAC Breda,SC Cambuur
5,1,15/01/1994,H,Willem II,Sparta Rotterdam
4,1,16/01/1994,H,Ajax,MVV Maastricht
5,0,16/01/1994,H,Feyenoord,VVV-Venlo
4,1,16/01/1994,H,FC Groningen,FC Utrecht
2,1,16/01/1994,H,FC Twente,RKC Waalwijk
1,1,21/01/1994,D,VVV-Venlo,NAC Breda
1,1,22/01/1994,D,PSV Eindhoven,SC Heerenveen
3,1,22/01/1994,H,SC Cambuur,FC Volendam
2,0,26/01/1994,H,MVV Maastricht,FC Groningen
3,1,29/01/1994,H,Go Ahead Eagles,Roda JC
1,0,29/01/1994,H,SC Heerenveen,FC Utrecht
2,1,29/01/1994,H,NAC Breda,FC Twente
3,1,30/01/1994,H,Ajax,Vitesse
1,1,30/01/1994,D,Feyenoord,RKC Waalwijk
2,2,30/01/1994,D,FC Groningen,SC Cambuur
0,0,30/01/1994,D,MVV Maastricht,Sparta Rotterdam
1,1,30/01/1994,D,FC Volendam,VVV-Venlo
1,1,30/01/1994,D,Willem II,PSV Eindhoven
0,3,02/02/1994,A,RKC Waalwijk,Ajax
1,2,02/02/1994,A,Roda JC,NAC Breda
1,0,05/02/1994,H,SC Cambuur,Go Ahead Eagles
1,3,05/02/1994,A,VVV-Venlo,FC Groningen
1,1,06/02/1994,D,Feyenoord,NAC Breda
4,1,06/02/1994,H,PSV Eindhoven,Ajax
1,1,06/02/1994,D,Roda JC,SC Heerenveen
2,0,06/02/1994,H,FC Twente,FC Volendam
1,1,06/02/1994,D,FC Utrecht,Willem II
1,3,06/02/1994,A,Vitesse,MVV Maastricht
3,1,06/02/1994,H,RKC Waalwijk,Sparta Rotterdam
0,1,11/02/1994,A,Vitesse,Willem II
0,1,13/02/1994,A,Sparta Rotterdam,Ajax
2,0,13/02/1994,H,FC Utrecht,Go Ahead Eagles
2,0,13/02/1994,H,FC Volendam,Roda JC
1,2,18/02/1994,A,SC Heerenveen,SC Cambuur
2,1,18/02/1994,H,MVV Maastricht,PSV Eindhoven
2,0,19/02/1994,H,Go Ahead Eagles,VVV-Venlo
3,0,19/02/1994,H,NAC Breda,RKC Waalwijk
0,3,19/02/1994,A,Willem II,Roda JC
4,1,20/02/1994,H,Sparta Rotterdam,Vitesse
1,1,20/02/1994,D,FC Groningen,FC Twente
0,1,20/02/1994,A,FC Volendam,Feyenoord
3,0,20/02/1994,H,Ajax,FC Utrecht
0,0,23/02/1994,D,SC Cambuur,Feyenoord
1,1,27/02/1994,D,FC Twente,Go Ahead Eagles
3,0,27/02/1994,H,FC Utrecht,MVV Maastricht
0,0,01/03/1994,D,Feyenoord,SC Heerenveen
1,0,05/03/1994,H,MVV Maastricht,Roda JC
3,0,05/03/1994,H,Willem II,VVV-Venlo
3,2,06/03/1994,H,Ajax,SC Cambuur
1,1,06/03/1994,D,Go Ahead Eagles,Feyenoord
0,0,06/03/1994,D,FC Groningen,NAC Breda
0,0,06/03/1994,D,Vitesse,PSV Eindhoven
3,1,06/03/1994,H,FC Volendam,RKC Waalwijk
3,2,06/03/1994,H,Sparta Rotterdam,FC Utrecht
2,2,08/03/1994,D,SC Heerenveen,FC Twente
2,0,09/03/1994,H,Roda JC,FC Groningen
0,2,09/03/1994,A,RKC Waalwijk,MVV Maastricht
0,1,11/03/1994,A,VVV-Venlo,Ajax
2,1,12/03/1994,H,SC Cambuur,MVV Maastricht
2,2,12/03/1994,D,NAC Breda,Go Ahead Eagles
1,1,13/03/1994,D,FC Twente,Feyenoord
4,0,13/03/1994,H,Roda JC,Sparta Rotterdam
2,1,13/03/1994,H,FC Utrecht,Vitesse
1,1,13/03/1994,D,RKC Waalwijk,PSV Eindhoven
1,0,13/03/1994,H,FC Volendam,FC Groningen
1,3,18/03/1994,A,SC Heerenveen,NAC Breda
0,1,19/03/1994,A,Go Ahead Eagles,FC Volendam
0,0,19/03/1994,D,MVV Maastricht,VVV-Venlo
2,1,20/03/1994,H,Willem II,Feyenoord
1,3,20/03/1994,A,Vitesse,Roda JC
1,0,20/03/1994,H,PSV Eindhoven,FC Utrecht
1,2,20/03/1994,A,FC Groningen,RKC Waalwijk
4,0,20/03/1994,H,Sparta Rotterdam,SC Cambuur
4,0,25/03/1994,H,Roda JC,PSV Eindhoven
1,3,26/03/1994,A,SC Cambuur,Vitesse
1,1,26/03/1994,D,NAC Breda,Willem II
1,4,26/03/1994,A,VVV-Venlo,Sparta Rotterdam
2,1,27/03/1994,H,Feyenoord,Ajax
3,1,27/03/1994,H,FC Groningen,Go Ahead Eagles
4,2,27/03/1994,H,FC Twente,MVV Maastricht
3,0,27/03/1994,H,RKC Waalwijk,FC Utrecht
3,0,27/03/1994,H,FC Volendam,SC Heerenveen
4,0,31/03/1994,H,FC Twente,Willem II
1,1,01/04/1994,D,MVV Maastricht,Feyenoord
2,0,02/04/1994,H,PSV Eindhoven,SC Cambuur
2,0,02/04/1994,H,Go Ahead Eagles,RKC Waalwijk
0,2,04/04/1994,A,Willem II,FC Volendam
4,0,04/04/1994,H,Vitesse,VVV-Venlo
1,1,04/04/1994,D,FC Utrecht,Roda JC
2,5,04/04/1994,A,Sparta Rotterdam,FC Twente
2,0,05/04/1994,H,SC Heerenveen,FC Groningen
5,0,06/04/1994,H,Ajax,NAC Breda
0,3,08/04/1994,A,VVV-Venlo,PSV Eindhoven
2,3,09/04/1994,A,Go Ahead Eagles,SC Heerenveen
2,1,09/04/1994,H,SC Cambuur,FC Utrecht
1,4,10/04/1994,A,NAC Breda,MVV Maastricht
0,1,10/04/1994,A,FC Twente,Vitesse
1,1,10/04/1994,D,RKC Waalwijk,Roda JC
4,1,10/04/1994,H,FC Groningen,Willem II
5,1,10/04/1994,H,Feyenoord,Sparta Rotterdam
1,0,12/04/1994,H,FC Volendam,Ajax
3,2,14/04/1994,H,PSV Eindhoven,FC Twente
0,3,16/04/1994,A,SC Heerenveen,RKC Waalwijk
1,1,16/04/1994,D,MVV Maastricht,FC Volendam
0,0,16/04/1994,D,Sparta Rotterdam,NAC Breda
0,0,16/04/1994,D,Willem II,Go Ahead Eagles
6,0,17/04/1994,H,Ajax,FC Twente
1,1,17/04/1994,D,Roda JC,SC Cambuur
2,3,17/04/1994,A,FC Utrecht,VVV-Venlo
1,2,17/04/1994,A,Vitesse,Feyenoord
2,2,23/04/1994,D,NAC Breda,Vitesse
2,2,23/04/1994,D,VVV-Venlo,Roda JC
1,2,23/04/1994,A,SC Heerenveen,Willem II
0,3,24/04/1994,A,Go Ahead Eagles,Ajax
3,0,24/04/1994,H,RKC Waalwijk,SC Cambuur
1,0,24/04/1994,H,FC Twente,FC Utrecht
3,2,24/04/1994,H,FC Groningen,MVV Maastricht
2,1,24/04/1994,H,FC Volendam,Sparta Rotterdam
0,1,27/04/1994,A,SC Cambuur,Willem II
2,2,27/04/1994,D,Feyenoord,FC Groningen
3,1,27/04/1994,H,NAC Breda,FC Volendam
2,1,27/04/1994,H,PSV Eindhoven,Sparta Rotterdam
1,2,27/04/1994,A,Roda JC,Ajax
1,1,27/04/1994,D,VVV-Venlo,SC Heerenveen
0,0,27/04/1994,D,RKC Waalwijk,Vitesse
1,0,01/05/1994,H,RKC Waalwijk,Willem II
2,1,01/05/1994,H,Vitesse,FC Volendam
0,0,01/05/1994,D,FC Utrecht,Feyenoord
2,2,01/05/1994,D,MVV Maastricht,Go Ahead Eagles
1,4,01/05/1994,A,Roda JC,FC Twente
3,1,01/05/1994,H,PSV Eindhoven,NAC Breda
2,1,01/05/1994,H,SC Cambuur,VVV-Venlo
3,0,01/05/1994,H,Sparta Rotterdam,FC Groningen
2,1,01/05/1994,H,Ajax,SC Heerenveen
0,2,03/05/1994,A,Ajax,FC Groningen
2,1,03/05/1994,H,Feyenoord,PSV Eindhoven
1,5,07/05/1994,A,Go Ahead Eagles,Sparta Rotterdam
0,2,08/05/1994,A,VVV-Venlo,RKC Waalwijk
2,1,08/05/1994,H,Feyenoord,Roda JC
0,0,08/05/1994,D,FC Groningen,Vitesse
3,1,08/05/1994,H,SC Heerenveen,MVV Maastricht
2,2,08/05/1994,D,NAC Breda,FC Utrecht
4,1,08/05/1994,H,FC Twente,SC Cambuur
3,2,08/05/1994,H,FC Volendam,PSV Eindhoven
2,1,08/05/1994,H,Willem II,Ajax
2,0,26/08/1994,H,SC Heerenveen,FC Groningen
1,1,27/08/1994,D,Roda JC,FC Twente
2,0,27/08/1994,H,Willem II,NAC Breda
3,1,28/08/1994,H,Ajax,RKC Waalwijk
1,1,28/08/1994,D,FC Dordrecht,Feyenoord
3,0,28/08/1994,H,FC Volendam,Go Ahead Eagles
2,4,28/08/1994,A,Vitesse,PSV Eindhoven
2,3,28/08/1994,A,NEC Nijmegen,FC Utrecht
1,2,31/08/1994,A,MVV Maastricht,NEC Nijmegen
0,0,31/08/1994,D,NAC Breda,Vitesse
4,1,31/08/1994,H,PSV Eindhoven,Go Ahead Eagles
0,1,31/08/1994,A,Sparta Rotterdam,Feyenoord
2,2,31/08/1994,D,FC Twente,FC Dordrecht
3,1,31/08/1994,H,FC Groningen,Willem II
4,0,31/08/1994,H,FC Utrecht,SC Heerenveen
1,1,31/08/1994,D,RKC Waalwijk,Roda JC
3,4,10/09/1994,A,Sparta Rotterdam,FC Twente
0,4,10/09/1994,A,SC Heerenveen,MVV Maastricht
0,1,10/09/1994,A,FC Dordrecht,RKC Waalwijk
0,1,11/09/1994,A,Willem II,FC Utrecht
0,0,11/09/1994,D,NEC Nijmegen,FC Volendam
3,4,11/09/1994,A,FC Groningen,NAC Breda
2,2,11/09/1994,D,Go Ahead Eagles,Feyenoord
5,0,11/09/1994,H,Ajax,Vitesse
3,0,17/09/1994,H,MVV Maastricht,Willem II
4,0,17/09/1994,H,PSV Eindhoven,FC Dordrecht
2,1,18/09/1994,H,FC Utrecht,FC Groningen
3,0,18/09/1994,H,FC Twente,Go Ahead Eagles
2,2,18/09/1994,D,RKC Waalwijk,Sparta Rotterdam
1,1,18/09/1994,D,Vitesse,Roda JC
1,2,18/09/1994,A,FC Volendam,SC Heerenveen
0,1,21/09/1994,A,FC Groningen,MVV Maastricht
0,4,21/09/1994,A,SC Heerenveen,Feyenoord
0,1,21/09/1994,A,NEC Nijmegen,FC Twente
1,1,21/09/1994,D,Roda JC,Ajax
1,1,21/09/1994,D,Sparta Rotterdam,PSV Eindhoven
4,0,21/09/1994,H,Willem II,FC Volendam
4,2,21/09/1994,H,Go Ahead Eagles,RKC Waalwijk
0,0,21/09/1994,D,FC Dordrecht,Vitesse
3,0,24/09/1994,H,Ajax,FC Dordrecht
3,2,24/09/1994,H,MVV Maastricht,FC Utrecht
2,4,24/09/1994,A,NAC Breda,Roda JC
4,3,24/09/1994,H,FC Twente,SC Heerenveen
2,0,24/09/1994,H,Vitesse,Sparta Rotterdam
0,2,25/09/1994,A,Feyenoord,Willem II
1,3,25/09/1994,A,RKC Waalwijk,NEC Nijmegen
1,1,25/09/1994,D,FC Volendam,FC Groningen
2,2,30/09/1994,D,NEC Nijmegen,PSV Eindhoven
0,3,01/10/1994,A,FC Dordrecht,Roda JC
0,0,01/10/1994,D,Go Ahead Eagles,Vitesse
1,0,01/10/1994,H,SC Heerenveen,RKC Waalwijk
2,3,01/10/1994,A,MVV Maastricht,NAC Breda
2,2,01/10/1994,D,Willem II,FC Twente
0,0,02/10/1994,D,FC Utrecht,FC Volendam
0,2,02/10/1994,A,Sparta Rotterdam,Ajax
1,1,02/10/1994,D,FC Groningen,Feyenoord
1,1,08/10/1994,D,Go Ahead Eagles,MVV Maastricht
2,0,09/10/1994,H,Sparta Rotterdam,FC Volendam
2,2,09/10/1994,D,FC Utrecht,NAC Breda
1,0,14/10/1994,H,Roda JC,Sparta Rotterdam
3,1,15/10/1994,H,PSV Eindhoven,SC Heerenveen
1,1,15/10/1994,D,NAC Breda,FC Dordrecht
3,0,16/10/1994,H,Feyenoord,FC Utrecht
2,2,16/10/1994,D,FC Twente,FC Groningen
1,1,16/10/1994,D,FC Volendam,MVV Maastricht
1,1,16/10/1994,D,RKC Waalwijk,Willem II
2,0,16/10/1994,H,Vitesse,NEC Nijmegen
4,0,16/10/1994,H,Ajax,Go Ahead Eagles
3,0,21/10/1994,H,SC Heerenveen,Vitesse
1,3,22/10/1994,A,NAC Breda,Sparta Rotterdam
3,1,22/10/1994,H,Roda JC,NEC Nijmegen
1,4,23/10/1994,A,PSV Eindhoven,Ajax
5,1,26/10/1994,H,Ajax,SC Heerenveen
0,4,26/10/1994,A,Go Ahead Eagles,Roda JC
3,1,26/10/1994,H,FC Groningen,RKC Waalwijk
1,4,26/10/1994,A,MVV Maastricht,Feyenoord
3,1,26/10/1994,H,Sparta Rotterdam,FC Dordrecht
1,1,26/10/1994,D,FC Volendam,NAC Breda
2,1,26/10/1994,H,Willem II,PSV Eindhoven
1,1,29/10/1994,D,FC Dordrecht,Go Ahead Eagles
5,0,29/10/1994,H,PSV Eindhoven,FC Groningen
5,2,30/10/1994,H,Feyenoord,FC Volendam
3,0,01/11/1994,H,Roda JC,PSV Eindhoven
1,1,05/11/1994,D,Go Ahead Eagles,Sparta Rotterdam
0,0,05/11/1994,D,SC Heerenveen,Roda JC
2,1,05/11/1994,H,MVV Maastricht,RKC Waalwijk
0,2,06/11/1994,A,FC Volendam,FC Twente
1,2,06/11/1994,A,FC Utrecht,PSV Eindhoven
1,4,06/11/1994,A,Willem II,Ajax
1,1,06/11/1994,D,FC Groningen,Vitesse
1,0,06/11/1994,H,Feyenoord,NAC Breda
4,0,06/11/1994,H,NEC Nijmegen,FC Dordrecht
3,1,09/11/1994,H,Ajax,FC Groningen
3,0,09/11/1994,H,NAC Breda,Go Ahead Eagles
4,0,09/11/1994,H,PSV Eindhoven,MVV Maastricht
3,0,09/11/1994,H,Roda JC,Willem II
2,3,09/11/1994,A,RKC Waalwijk,FC Volendam
2,1,09/11/1994,H,Vitesse,FC Utrecht
3,2,10/11/1994,H,Feyenoord,NEC Nijmegen
1,1,12/11/1994,D,FC Dordrecht,SC Heerenveen
2,0,13/11/1994,H,Sparta Rotterdam,NEC Nijmegen
0,4,13/11/1994,A,FC Utrecht,FC Twente
1,0,19/11/1994,H,SC Heerenveen,Sparta Rotterdam
2,3,19/11/1994,A,MVV Maastricht,Vitesse
1,0,19/11/1994,H,Willem II,FC Dordrecht
0,0,19/11/1994,D,FC Volendam,PSV Eindhoven
0,2,20/11/1994,A,FC Groningen,Roda JC
2,1,20/11/1994,H,NEC Nijmegen,Go Ahead Eagles
5,1,20/11/1994,H,FC Twente,Feyenoord
0,0,20/11/1994,D,FC Utrecht,Ajax
2,1,22/11/1994,H,FC Twente,NAC Breda
0,1,26/11/1994,A,FC Dordrecht,FC Groningen
0,4,26/11/1994,A,Go Ahead Eagles,SC Heerenveen
2,0,26/11/1994,H,NAC Breda,NEC Nijmegen
1,0,27/11/1994,H,RKC Waalwijk,FC Twente
0,0,27/11/1994,D,Vitesse,FC Volendam
0,2,27/11/1994,A,Sparta Rotterdam,Willem II
4,1,27/11/1994,H,PSV Eindhoven,Feyenoord
3,1,27/11/1994,H,Ajax,MVV Maastricht
1,0,27/11/1994,H,Roda JC,FC Utrecht
1,1,02/12/1994,D,MVV Maastricht,Roda JC
4,2,03/12/1994,H,SC Heerenveen,NEC Nijmegen
4,0,03/12/1994,H,Willem II,Go Ahead Eagles
2,0,04/12/1994,H,RKC Waalwijk,NAC Breda
3,1,04/12/1994,H,FC Utrecht,FC Dordrecht
0,3,04/12/1994,A,Feyenoord,Vitesse
4,0,04/12/1994,H,FC Groningen,Sparta Rotterdam
2,2,04/12/1994,D,FC Twente,PSV Eindhoven
2,2,04/12/1994,D,FC Volendam,Ajax
2,2,06/12/1994,D,PSV Eindhoven,RKC Waalwijk
4,3,09/12/1994,H,SC Heerenveen,NAC Breda
5,0,11/12/1994,H,Sparta Rotterdam,FC Utrecht
3,0,11/12/1994,H,FC Twente,MVV Maastricht
3,1,11/12/1994,H,Vitesse,Willem II
1,2,17/12/1994,A,FC Dordrecht,MVV Maastricht
2,4,17/12/1994,A,Go Ahead Eagles,FC Groningen
2,1,17/12/1994,H,Roda JC,FC Volendam
1,0,18/12/1994,H,Feyenoord,RKC Waalwijk
2,2,18/12/1994,D,NAC Breda,Ajax
2,2,18/12/1994,D,NEC Nijmegen,Willem II
6,1,18/12/1994,H,Vitesse,FC Twente
0,2,21/12/1994,A,NEC Nijmegen,Ajax
1,1,13/01/1995,D,RKC Waalwijk,Ajax
1,1,14/01/1995,D,MVV Maastricht,Go Ahead Eagles
0,0,14/01/1995,D,NAC Breda,Willem II
1,0,15/01/1995,H,FC Volendam,Sparta Rotterdam
0,0,15/01/1995,D,FC Groningen,SC Heerenveen
2,2,15/01/1995,D,FC Utrecht,NEC Nijmegen
5,4,15/01/1995,H,Feyenoord,FC Dordrecht
1,2,21/01/1995,A,FC Dordrecht,FC Twente
0,2,21/01/1995,A,Go Ahead Eagles,FC Volendam
2,0,21/01/1995,H,SC Heerenveen,FC Utrecht
2,0,21/01/1995,H,Roda JC,RKC Waalwijk
3,0,21/01/1995,H,Willem II,FC Groningen
1,0,22/01/1995,H,Ajax,PSV Eindhoven
4,0,22/01/1995,H,Feyenoord,Sparta Rotterdam
4,0,22/01/1995,H,NEC Nijmegen,MVV Maastricht
1,1,22/01/1995,D,Vitesse,NAC Breda
3,3,27/01/1995,D,FC Twente,Sparta Rotterdam
5,0,28/01/1995,H,PSV Eindhoven,Roda JC
4,1,29/01/1995,H,RKC Waalwijk,FC Dordrecht
5,1,29/01/1995,H,FC Volendam,NEC Nijmegen
0,0,29/01/1995,D,FC Utrecht,Willem II
2,3,29/01/1995,A,Vitesse,Ajax
0,2,03/02/1995,A,FC Dordrecht,PSV Eindhoven
5,0,04/02/1995,H,Roda JC,Vitesse
4,0,04/02/1995,H,SC Heerenveen,FC Volendam
1,0,04/02/1995,H,Willem II,MVV Maastricht
3,1,05/02/1995,H,Ajax,NAC Breda
5,2,05/02/1995,H,Sparta Rotterdam,RKC Waalwijk
1,4,10/02/1995,A,SC Heerenveen,FC Twente
0,0,10/02/1995,D,FC Volendam,Willem II
0,0,11/02/1995,D,MVV Maastricht,Sparta Rotterdam
3,2,11/02/1995,H,PSV Eindhoven,Vitesse
4,1,12/02/1995,H,Ajax,Feyenoord
2,2,12/02/1995,D,FC Groningen,NEC Nijmegen
2,1,12/02/1995,H,RKC Waalwijk,FC Utrecht
2,1,15/02/1995,H,RKC Waalwijk,Go Ahead Eagles
2,0,15/02/1995,H,Vitesse,FC Dordrecht
